Loading merged.csv ...
Training years used: [2020, 2021, 2022, 2023]

==================================================
  Experiment: Withholding m=0 stations
==================================================
  Running 1 iterations for m=0...

  --- Iteration 1/1 ---
  Unseen stations (0): []
  [Time Est] ~13.0s/epoch. ETA for m=0: ~4.3 mins.
    Epoch   10/1000 | Loss: 3.5704 | Monitor MAE: 1.7450 | Patience: 0/10
    Epoch   20/1000 | Loss: 3.5363 | Monitor MAE: 1.7070 | Patience: 1/10
    Epoch   30/1000 | Loss: 3.5042 | Monitor MAE: 1.6981 | Patience: 0/10
    Epoch   40/1000 | Loss: 3.4960 | Monitor MAE: 1.6765 | Patience: 3/10
    Epoch   50/1000 | Loss: 3.4638 | Monitor MAE: 1.6651 | Patience: 7/10
    Epoch   60/1000 | Loss: 3.4567 | Monitor MAE: 1.6581 | Patience: 3/10
    Early stopping triggered after 66 epochs.
    Iter 1 Results -> Seen MAE: 1.6528

  ========================================
  AGGREGATED RESULTS (Across all iterations)
  SEEN   mean MAE Tmax: 1.6528
  ========================================

  [AGGREGATED_CURVES_START]
    Epoch 204:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 205:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 206:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 207:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 208:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 209:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 210:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 211:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 212:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 213:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 214:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 215:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 216:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 217:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 218:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 219:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 220:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 221:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 222:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 223:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 224:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 225:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 226:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 227:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 228:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 229:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 230:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 231:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 232:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 233:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 234:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 235:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 236:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 237:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 238:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 239:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 240:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 241:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 242:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 243:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 244:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 245:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 246:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 247:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 248:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 249:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 250:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 251:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 252:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 253:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 254:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 255:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 256:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 257:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 258:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 259:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 260:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 261:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 262:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 263:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 264:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 265:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 266:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 267:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 268:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 269:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 270:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 271:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 272:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 273:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 274:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 275:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 276:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 277:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 278:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 279:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 280:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 281:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 282:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 283:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 284:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 285:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 286:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 287:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 288:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 289:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 290:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 291:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 292:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 293:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 294:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 295:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 296:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 297:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 298:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 299:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 300:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 301:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 302:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 303:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 304:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 305:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
